time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-02 00:00:00+00:00,5,4,27,19
2023-06-03 00:00:00+00:00,5,4,6,6
2023-06-04 00:00:00+00:00,5,4,6,6
2023-06-05 00:00:00+00:00,4,4,39,23
2023-06-06 00:00:00+00:00,5,4,19,10
2023-06-07 00:00:00+00:00,6,5,34,23
2023-06-08 00:00:00+00:00,8,7,5,5
2023-06-09 00:00:00+00:00,7,6,14,13
2023-06-10 00:00:00+00:00,7,7,2,2
2023-06-11 00:00:00+00:00,17,7,10,5
2023-06-12 00:00:00+00:00,41,9,26,10
2023-06-13 00:00:00+00:00,8,7,17,9
2023-06-14 00:00:00+00:00,11,10,15,11
2023-06-15 00:00:00+00:00,8,6,16,11
2023-06-16 00:00:00+00:00,7,6,27,22
2023-06-17 00:00:00+00:00,8,7,5,4
2023-06-18 00:00:00+00:00,8,7,3,3
2023-06-19 00:00:00+00:00,18,7,15,14
2023-06-20 00:00:00+00:00,9,5,31,12
2023-06-21 00:00:00+00:00,7,5,15,13
2023-06-22 00:00:00+00:00,6,5,30,10
2023-06-23 00:00:00+00:00,5,4,8,8
2023-06-24 00:00:00+00:00,5,4,0,0
2023-06-25 00:00:00+00:00,6,5,1,1
2023-06-26 00:00:00+00:00,6,5,15,13
2023-06-27 00:00:00+00:00,4,4,9,4
2023-06-28 00:00:00+00:00,7,6,11,8
2023-06-29 00:00:00+00:00,6,5,15,13
2023-06-30 00:00:00+00:00,6,5,13,6
2023-07-01 00:00:00+00:00,6,5,8,3
2023-07-02 00:00:00+00:00,5,4,6,5
2023-07-03 00:00:00+00:00,8,7,23,15
2023-07-04 00:00:00+00:00,6,5,11,7
2023-07-05 00:00:00+00:00,7,6,41,16
2023-07-06 00:00:00+00:00,5,4,19,10
2023-07-07 00:00:00+00:00,6,5,21,17
2023-07-08 00:00:00+00:00,5,4,2,2
2023-07-09 00:00:00+00:00,6,5,1,1
2023-07-10 00:00:00+00:00,6,5,84,16
2023-07-11 00:00:00+00:00,8,6,61,9
2023-07-12 00:00:00+00:00,6,5,31,11
2023-07-13 00:00:00+00:00,5,4,6,5
2023-07-14 00:00:00+00:00,6,5,1,1
2023-07-15 00:00:00+00:00,6,5,1,1
2023-07-16 00:00:00+00:00,5,4,2,2
2023-07-17 00:00:00+00:00,7,6,23,11
2023-07-18 00:00:00+00:00,10,8,31,14
2023-07-19 00:00:00+00:00,6,5,19,15
2023-07-20 00:00:00+00:00,6,5,17,11
2023-07-21 00:00:00+00:00,6,5,22,17
2023-07-22 00:00:00+00:00,5,4,4,4
2023-07-23 00:00:00+00:00,5,4,4,4
2023-07-24 00:00:00+00:00,6,5,22,20
2023-07-25 00:00:00+00:00,5,4,13,13
2023-07-26 00:00:00+00:00,8,6,36,12
2023-07-27 00:00:00+00:00,5,4,15,10
2023-07-28 00:00:00+00:00,8,6,14,6
2023-07-29 00:00:00+00:00,6,5,22,4
2023-07-30 00:00:00+00:00,7,6,9,9
2023-07-31 00:00:00+00:00,7,6,26,14
2023-08-01 00:00:00+00:00,8,7,42,19
2023-08-02 00:00:00+00:00,6,5,15,11
2023-08-03 00:00:00+00:00,5,4,30,12
2023-08-04 00:00:00+00:00,5,4,17,13
2023-08-05 00:00:00+00:00,6,5,14,3
2023-08-06 00:00:00+00:00,7,6,17,5
2023-08-07 00:00:00+00:00,6,5,12,10
2023-08-08 00:00:00+00:00,6,5,85,10
2023-08-09 00:00:00+00:00,6,5,8,8
2023-08-10 00:00:00+00:00,6,5,8,8
2023-08-11 00:00:00+00:00,6,5,19,4
2023-08-12 00:00:00+00:00,8,6,2,2
2023-08-13 00:00:00+00:00,6,5,3,2
2023-08-14 00:00:00+00:00,6,5,14,10
2023-08-15 00:00:00+00:00,5,4,1,1
2023-08-16 00:00:00+00:00,5,4,24,5
2023-08-17 00:00:00+00:00,6,5,8,4
2023-08-18 00:00:00+00:00,5,4,26,10
2023-08-19 00:00:00+00:00,6,5,2,2
2023-08-20 00:00:00+00:00,5,4,3,2
2023-08-21 00:00:00+00:00,7,6,10,9
2023-08-22 00:00:00+00:00,8,7,20,7
2023-08-23 00:00:00+00:00,6,5,10,7
2023-08-24 00:00:00+00:00,5,4,7,7
2023-08-25 00:00:00+00:00,6,5,5,3
2023-08-26 00:00:00+00:00,5,4,4,3
2023-08-27 00:00:00+00:00,5,4,10,5
2023-08-28 00:00:00+00:00,7,6,14,10
2023-08-29 00:00:00+00:00,7,6,7,5
2023-08-30 00:00:00+00:00,5,4,43,6
2023-08-31 00:00:00+00:00,7,5,7,5
2023-09-01 00:00:00+00:00,6,5,8,5
2023-09-02 00:00:00+00:00,5,4,3,3
2023-09-03 00:00:00+00:00,6,5,2,2
2023-09-04 00:00:00+00:00,8,7,5,5
2023-09-05 00:00:00+00:00,6,5,5,5
2023-09-06 00:00:00+00:00,6,5,23,8
2023-09-07 00:00:00+00:00,8,6,8,6
2023-09-08 00:00:00+00:00,6,5,8,8
2023-09-09 00:00:00+00:00,5,4,2,2
2023-09-10 00:00:00+00:00,6,5,3,2
2023-09-11 00:00:00+00:00,6,5,15,6
2023-09-12 00:00:00+00:00,7,6,13,12
2023-09-13 00:00:00+00:00,10,6,8,7
2023-09-14 00:00:00+00:00,9,6,6,6
2023-09-15 00:00:00+00:00,6,5,11,9
2023-09-16 00:00:00+00:00,9,6,0,0
2023-09-17 00:00:00+00:00,6,5,7,2
2023-09-18 00:00:00+00:00,9,7,52,17
2023-09-19 00:00:00+00:00,5,4,5,5
2023-09-20 00:00:00+00:00,7,6,23,17
2023-09-21 00:00:00+00:00,16,7,7,7
2023-09-22 00:00:00+00:00,8,5,4,4
2023-09-23 00:00:00+00:00,5,4,0,0
2023-09-24 00:00:00+00:00,5,4,12,4
2023-09-25 00:00:00+00:00,8,6,10,10
2023-09-26 00:00:00+00:00,5,4,53,9
2023-09-27 00:00:00+00:00,7,5,33,15
2023-09-28 00:00:00+00:00,5,4,44,14
2023-09-29 00:00:00+00:00,6,5,6,6
2023-09-30 00:00:00+00:00,7,5,2,2
2023-10-01 00:00:00+00:00,5,4,2,2
2023-10-02 00:00:00+00:00,6,5,11,6
2023-10-03 00:00:00+00:00,7,6,10,9
2023-10-04 00:00:00+00:00,5,4,11,11
2023-10-05 00:00:00+00:00,21,5,23,13
2023-10-06 00:00:00+00:00,10,6,11,8
2023-10-07 00:00:00+00:00,7,6,6,3
2023-10-08 00:00:00+00:00,6,5,4,3
2023-10-09 00:00:00+00:00,10,8,8,7
2023-10-10 00:00:00+00:00,6,5,12,6
2023-10-11 00:00:00+00:00,3,3,17,9
2023-10-12 00:00:00+00:00,3,3,8,5
2023-10-13 00:00:00+00:00,9,5,3,3
2023-10-14 00:00:00+00:00,7,5,0,0
2023-10-15 00:00:00+00:00,5,5,40,5
2023-10-16 00:00:00+00:00,5,5,6,6
2023-10-17 00:00:00+00:00,5,5,4,4
2023-10-18 00:00:00+00:00,5,5,20,7
2023-10-19 00:00:00+00:00,4,4,14,8
2023-10-20 00:00:00+00:00,3,3,17,9
2023-10-21 00:00:00+00:00,5,5,1,1
2023-10-22 00:00:00+00:00,4,4,26,4
2023-10-23 00:00:00+00:00,5,5,12,10
2023-10-24 00:00:00+00:00,4,4,1,1
2023-10-25 00:00:00+00:00,5,5,15,9
2023-10-26 00:00:00+00:00,4,4,19,8
2023-10-27 00:00:00+00:00,5,5,55,7
2023-10-28 00:00:00+00:00,5,5,0,0
2023-10-29 00:00:00+00:00,3,3,1,1
2023-10-30 00:00:00+00:00,6,6,15,13
2023-10-31 00:00:00+00:00,5,5,44,9
2023-11-01 00:00:00+00:00,6,5,13,4
2023-11-02 00:00:00+00:00,6,6,25,6
2023-11-03 00:00:00+00:00,6,6,86,4
2023-11-04 00:00:00+00:00,3,3,1,1
2023-11-05 00:00:00+00:00,6,6,1,1
2023-11-06 00:00:00+00:00,4,4,8,5
2023-11-07 00:00:00+00:00,5,5,33,18
2023-11-08 00:00:00+00:00,7,6,9,4
2023-11-09 00:00:00+00:00,3,3,5,4
2023-11-10 00:00:00+00:00,5,5,30,4
2023-11-11 00:00:00+00:00,5,5,7,2
2023-11-12 00:00:00+00:00,4,4,3,3
2023-11-13 00:00:00+00:00,5,5,9,9
2023-11-14 00:00:00+00:00,4,4,41,15
2023-11-15 00:00:00+00:00,7,7,20,8
2023-11-16 00:00:00+00:00,3,3,8,6
2023-11-17 00:00:00+00:00,4,4,8,7
2023-11-18 00:00:00+00:00,7,6,0,0
2023-11-19 00:00:00+00:00,6,6,3,3
2023-11-20 00:00:00+00:00,6,6,10,9
2023-11-21 00:00:00+00:00,6,6,96,10
2023-11-22 00:00:00+00:00,6,6,50,13
2023-11-23 00:00:00+00:00,5,5,4,3
2023-11-24 00:00:00+00:00,4,4,6,4
2023-11-25 00:00:00+00:00,4,4,2,1
2023-11-26 00:00:00+00:00,5,5,3,3
2023-11-27 00:00:00+00:00,5,5,5,5
2023-11-28 00:00:00+00:00,4,4,10,9
2023-11-29 00:00:00+00:00,5,5,16,12
2023-11-30 00:00:00+00:00,4,4,3,3
2023-12-01 00:00:00+00:00,4,4,7,7
2023-12-02 00:00:00+00:00,4,4,5,3
2023-12-03 00:00:00+00:00,4,4,100,9
2023-12-04 00:00:00+00:00,7,7,73,9
2023-12-05 00:00:00+00:00,5,5,41,8
2023-12-06 00:00:00+00:00,8,8,28,7
2023-12-07 00:00:00+00:00,6,6,68,7
2023-12-08 00:00:00+00:00,5,5,5,5
2023-12-09 00:00:00+00:00,6,6,75,9
2023-12-10 00:00:00+00:00,6,6,7,5
2023-12-11 00:00:00+00:00,7,7,9,7
2023-12-12 00:00:00+00:00,6,6,38,9
2023-12-13 00:00:00+00:00,7,7,5,4
2023-12-14 00:00:00+00:00,5,5,13,8
2023-12-15 00:00:00+00:00,7,7,6,5
2023-12-16 00:00:00+00:00,5,5,1,1
2023-12-17 00:00:00+00:00,6,6,6,5
2023-12-18 00:00:00+00:00,7,7,6,5
2023-12-19 00:00:00+00:00,9,8,13,6
2023-12-20 00:00:00+00:00,5,5,19,15
2023-12-21 00:00:00+00:00,5,5,13,9
2023-12-22 00:00:00+00:00,6,6,9,5
2023-12-23 00:00:00+00:00,4,4,12,5
2023-12-24 00:00:00+00:00,4,4,118,8
2023-12-25 00:00:00+00:00,5,5,68,2
2023-12-26 00:00:00+00:00,4,4,78,5
2023-12-27 00:00:00+00:00,4,4,71,7
2023-12-28 00:00:00+00:00,5,5,69,4
2023-12-29 00:00:00+00:00,5,5,62,3
2023-12-30 00:00:00+00:00,6,5,68,7
